alias,market,season,opp_alias,opp_market,win,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,gopp_wins,gopp_losses,gopp_win_pct,gopp_off_ptsperposs,gopp_def_ptsperposs,gopp_net_ptsperposs,gopp_possperg,gopp_adj_off_ptsperposs,gopp_adj_def_ptsperposs,gopp_adj_net_ptsperposs,gopp_adj_possperg,gopp_off_sd,gopp_def_sd,gopp_opp_adj_net_ptsperposs,gopp_seed
PENN,Pennsylvania,2017,KU,Kansas,False,24,8,0.75,1.071960733,0.9581516999999999,0.113809033,71.30625,1.076506712,0.931034543,0.145472169,71.84011242,0.168768737,0.14086826300000002,-0.010622807,16.0,27,7,0.794117647,1.166442162,1.007350484,0.15909167800000001,69.87058824,1.225408861,0.985519803,0.23988905800000002,69.70601055,0.15086714,0.138048961,0.098050537,1.0
VILL,Villanova,2017,KU,Kansas,True,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0,27,7,0.794117647,1.166442162,1.007350484,0.15909167800000001,69.87058824,1.225408861,0.985519803,0.23988905800000002,69.70601055,0.15086714,0.138048961,0.098050537,1.0
CLEM,Clemson,2017,AUB,Auburn,True,23,9,0.71875,1.08484456,0.972209399,0.112635161,67.55,1.104073438,0.932005029,0.17206841,66.52561376,0.14543646,0.10153205400000001,0.088631664,5.0,25,7,0.78125,1.14280819,1.004710921,0.138097269,72.95625,1.1931762670000001,0.9871280240000001,0.20604824300000002,74.73356236,0.119278941,0.112641484,0.057317147,4.0
COFC,Charleston,2017,AUB,Auburn,False,26,7,0.787878788,1.133058985,1.03702011,0.096038875,66.27272727,1.160992975,1.02461058,0.136382395,64.60082095,0.145687386,0.123134885,-0.027197539,13.0,25,7,0.78125,1.14280819,1.004710921,0.138097269,72.95625,1.1931762670000001,0.9871280240000001,0.20604824300000002,74.73356236,0.119278941,0.112641484,0.057317147,4.0
TCU,TCU,2017,SYR,Syracuse,False,21,11,0.65625,1.165832675,1.061506203,0.10432647199999999,71.19375,1.224259723,1.063291013,0.16096870900000002,71.7938583,0.129262908,0.125693051,0.101241779,6.0,20,13,0.606060606,1.038773418,0.98229109,0.056482328,65.02424242,1.0304778559999999,0.94727176,0.083206096,62.89160455,0.145312623,0.133726467,0.091566965,11.0
MSU,Michigan State,2017,BUCK,Bucknell,True,29,4,0.8787878790000001,1.195418754,0.941767245,0.253651509,67.73333333,1.262906261,0.899976951,0.36292931,66.88744073,0.15144253800000002,0.126098606,0.057377424,3.0,25,9,0.735294118,1.1125,0.996219434,0.116280566,72.94117647,1.154027472,0.966888295,0.18713917600000002,74.91266543,0.123692289,0.13022921699999998,-0.01035286,14.0
UNC,North Carolina,2017,TXAM,Texas A&M,False,25,10,0.7142857140000001,1.131844721,1.020579086,0.111265636,72.42285714,1.1930719090000002,0.994930655,0.198141254,74.49727627,0.14529523800000002,0.112407274,0.134821856,2.0,20,12,0.625,1.059228529,0.9896340920000001,0.069594436,70.80625,1.064766904,0.95370039,0.111066514,71.11611975,0.137122885,0.139148661,0.096120637,7.0
TEX,Texas,2017,NEV,Nevada,False,19,14,0.575757576,1.0436507940000002,0.9912806059999999,0.052370188,68.72727273,1.041496293,0.9564874790000001,0.085008814,67.94106389,0.131539032,0.14097989,0.09959264,10.0,27,7,0.794117647,1.173270205,1.020593081,0.152677124,70.81764706,1.254610518,1.000046684,0.254563834,71.27848724,0.142123196,0.132302723,0.056622026,7.0
VILL,Villanova,2017,MICH,Michigan,True,30,4,0.882352941,1.237665161,0.9880288620000001,0.24963629899999998,70.34117647,1.349360149,0.9460842279999999,0.40327592100000004,69.9468902,0.147316656,0.126021797,0.07560431299999999,1.0,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0
TXAM,Texas A&M,2017,MICH,Michigan,False,20,12,0.625,1.059228529,0.9896340920000001,0.069594436,70.80625,1.064766904,0.95370039,0.111066514,71.11611975,0.137122885,0.139148661,0.096120637,7.0,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0
MONT,Montana,2017,MICH,Michigan,False,26,7,0.787878788,1.101426985,0.975148336,0.12627864800000002,70.92727273,1.1296592559999998,0.946510587,0.18314867,70.83272169,0.12269849,0.11368261,-0.011618912,14.0,28,7,0.8,1.141080655,0.957630038,0.18345061699999998,65.25142857,1.189623102,0.9070021309999999,0.282620971,63.28863568,0.15542872900000002,0.12710286699999998,0.069230475,3.0
L-IL,Loyola (IL),2017,KSU,Kansas State,True,28,5,0.848484848,1.1098727590000002,0.9413382220000001,0.168534538,65.25454545,1.1482194159999999,0.9072397170000001,0.240979699,63.27301923,0.138252005,0.10241218099999999,-0.006331278,11.0,22,11,0.666666667,1.0910087720000001,1.02283105,0.068177722,66.32727273,1.10515982,1.00290289,0.102256931,64.52774563,0.18530599899999997,0.13915877699999998,0.060835015,9.0
